customer_state,seller_id,orders,late_orders,late_pct
SP,c3cfdc648177fdbbbb35635a37472c53,109,1,0.9174311926605505
SP,dbc22125167c298ef99da25668e1011f,127,1,0.7874015748031495
SP,4d6d651bd7684af3fffabd5f08d12e5a,165,1,0.6060606060606061
SP,128639473a139ac0f3e5f5ade55873a5,167,1,0.5988023952095809
SP,,371,0,0.0
SP,7e93a43ef30c4f03f38b393420bc753a,115,0,0.0
SP,cab85505710c7cb9b720bceb52b01cee,93,0,0.0
MG,,91,0,0.0
RJ,,90,0,0.0
SP,0241d4d5d36f10f80c644447315af0bd,82,0,0.0
PR,6560211a19b47992c3666cc44a7e94c0,81,0,0.0
PR,7a67c85e85bb2ce8582c35f2203ad736,77,0,0.0
SP,0b90b6df587eb83608a64ea8b390cf07,73,0,0.0
SP,259f7b5e6e482c230e5bfaa670b6bb8f,69,0,0.0
PR,128639473a139ac0f3e5f5ade55873a5,65,0,0.0
SP,5cf13accae3222c70a9cac40818ae839,61,0,0.0
SP,95e03ca3d4146e4011985981aeb959b9,61,0,0.0
MG,d91fb3b7d041e83b64a00a3edfb37e4f,57,0,0.0
MG,de722cd6dad950a92b7d4f82673f8833,57,0,0.0
SP,e5a38146df062edaf55c38afa99e42dc,57,0,0.0
SP,f80edd2c5aaa505cc4b0a3b219abf4b8,56,0,0.0
MG,0ea22c1cfbdc755f86b9b54b39c16043,54,0,0.0
MG,2138ccb85b11a4ec1e37afbd1c8eda1f,54,0,0.0
PR,3d871de0142ce09b7081e2b9d1733cb1,53,0,0.0
MG,1900267e848ceeba8fa32d80c1a5f5a8,52,0,0.0
RJ,53243585a1d6dc2643021fd1853d8905,52,0,0.0
SP,44073f8b7e41514de3b7815dd0237f4f,52,0,0.0
SP,1127b7f2594683f2510f1c2c834a486b,51,0,0.0
SP,9674754b5a0cb32b638cec001178f799,51,0,0.0
